Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned,Full HD,IPS Panel
Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,978,Low,False,True
Dell,3,1,1,3,15.600000000000001,0.6896551724137931,4,256,4.851000000000001,634,Low,True,False
Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.851000000000001,946,Low,True,False
Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,128,2.6901,1244,Low,False,True
HP,4,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.21155,837,Low,True,False
Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.851000000000001,1016,Low,True,False
HP,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.6305000000000005,1117,Low,True,False
Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.851000000000001,866,Low,False,True
Dell,3,1,1,5,15.600000000000001,0.8620689655172414,4,256,5.0714999999999995,812,Low,True,False
Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.851000000000001,1068,Low,False,True
Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.69665,975,Low,True,False
HP,3,2,1,3,15.600000000000001,0.6896551724137931,4,128,4.21155,558,Low,True,False
Asus,3,2,2,3,15.600000000000001,0.6896551724137931,4,256,4.41,527,Low,True,False
Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.7485,1117,Low,True,False
Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.0869999999999997,1195,Low,True,False
HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.1013,876,Low,True,False
Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1213,Low,False,True
Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.851000000000001,1105,Low,True,False
Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.1453999999999995,1392,Low,False,True
HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.59415,1092,Low,True,False
